"id","spans","cashtag","sentiment score"
"709723193125175300","consumers keep cautious stance","$COST","0.1100569794"
"719529094652698600","Close $CTRP @46.16 from 43.55 entry +6% +6%","$CTRP","0.1834584648"
"39048670","Every Reason to Be Bullish","$INTC","0.1865869747"
"37048093","$PANW need anoth $1 to all time high","$PANW","0.0980079733"
"6207860","Long setup","$JRCC","0.3293194654"
"719911771625140200","will be a solid long term investmen #passive Also added $SBUX today  #Income","$SBUX","0.2371261132"
"719571433307955200","recall","$TSLA","0.0921265965"
"711874651043926000","Marriott wins new Starwood deal by raising cash portion of bid","$MAR","0.1901393405"
"719559500852662300","Time To Embrace Dividend Growth","$ABBV","0.2320107248"
"709737853639663600","Bullshit! All #AppleStores are EMPTY in #China $MS must be preparing to liquidate $AAPL","$MS","0.1014588954"
"30084443","5-star analyst Robert Derrington from Wunderlich reiterated a BUY","$BJRI","0.1676537187"
"711948847971307500","Excited big +value Hoping","$AAPL","0.2482856249"
"710211237058093000","Oil To Break Out Adding Chevron","$MCD","0.3654723983"
"709777793798656000","Unusual Call Activity","$GWPH","0.2848289656"
"719917003033681900","China's Tourist Bonanza Isn't Going Anywhere","$QUNR","0.1072220775"
"39047884","0.15","$ESI","0.1277362049"
"719590251891658800","not guaranteed","$TSLA","0.0994126111"
"32349177","Potential continuation Uptrend","$HYG","0.1893205808"
"5933426","longed","$AMZN","0.15223716"
"17892972","absolute garbage still up stores TOTALLY EMPTY stock mispriced","$MW","0.0651357527"
"22409313","Buy the dip'","$MSTX","0.2518710559"
"719895099300139000","weakest in todays DT watchlist","$TSLA","0.2455112378"
"719533378698100700","We See More Reasons To Be Cautious","$FB","0.1301785986"
"11685342","breaking out","$DARA","0.1116482508"
"38563467","$BBRY smack down looks legitimate $GS $MS are playing ignorant","$GS","0.0631640729"
"8472562","in for swing trade looks like want go up","$BAC","0.2321087817"
"719796218071621600","","$AMZN","0.1642675229"
"5866181","add short","$SPY","0.0666683337"
"26553639","Nice..","$DVAX","0.1521389747"
"719571926285312000","Verified $98.95 loss in $ENDP trades","$ENDP","0.1257142022"
"5453104","Loving the volume","$VMW","0.320034365"
"708381004180795400","hod buyers stepped in","$FB","0.2041917657"
"5960481","Clearing back above 50 day next buy / add area when clears this upper trend line on volume","$BIDU","0.198077528"
"709780511200317400","eems to be respecting channel","$COST","0.1609427985"
"708355634857529300","Sector Stocks Leading Today","$CPGX","0.2973630877"
"709741154393133000","overbought","$INTC","-0.0167392644"
"719515248571473900","Now look at $FB live video rollout Tough space.","$FB","0.063213089"
"29666346","kodak could pick it up before Christmas to write it off in their taxes","$UNXL","0.162638069"
"15981627","they'll whip it back down","$AAPL","0.075501854"
"719573068864032800","plus its Irish based  getting rid of its generic biz","$ENDP","0.16416602"
"5379023","Over 30.37","$VPRT","0.2384840812"
"24697241","Got sell signal 7/1/14 still in force with target below 1.50","$AMRN","0.1572828848"
"5853626","buy not the end of the world","$GOOG","0.168448554"
"34103560","Future is bright","$PLUG","0.1731232722"
"29364798","bulls be careful","$BBRY","0.1589613963"
"15349675","in at 577 added at 576 after p/b","$KGC","0.2720608685"
"710475186353475600","may be ripe for a #takeover targe","$TWTR","0.269044254"
"719732320404709400","TOP 5 STOCK PICKS","$OGS","0.3094965465"
"35980487","Tomorrow morning will likely open north","$AAPL","0.0730673774"
"710863854381563900","Unusual Call Activity","$HYG","0.2848289656"
"719493174167625700","Iraq Boosts Oil Production to Record","$USO","0.1604913758"
"7867073","Failed breakouts & failed setups Limping on crutches into next week","$AAPL","-0.0171149387"
"8562689","take-over interest","$RA","0.1961010789"
"719538296204959700","$ENDP shares rattled","$INSY","0.1640604514"
"719498634803458000","Buy CSX to Ride the Railroads","$CSX","0.2001768901"
"719524328363073500","out of $FB into $aapl","$FB","0.1539516227"
"27121711","downgrade before ER","$BBBY","0.0492949866"
"719881403970818000","good opportunity to BUY","$DB","0.2303995925"
"719507659741872100","$INSY lower","$INSY","-0.0112327596"
"719535506980266000","Nice day rally!","$JPM","0.327202203"
"719881985909350400","popping up to HOD","$FB","0.2079310374"
"24458298","large players are selling","$CROX","0.0756320877"
"17782586","finally broke free from big brother's shadow?","$SCTY","0.1966734955"
"5497092","buy back shares","$AAPL","0.2545035337"
"38224737","Insider Trading: Clair St Unloaded 5,838 Shares","$NTRS","0.175268556"
"36006797","Files Lawsuit Against Verizon","$VZ","0.181236217"
"719571596462133200","looks to have a solid 2016 high-teens EPS growth","$GOOGL","0.222807847"
"709411365299982300","$FIT and $SUNE have not changed.","$SUNE","0.0848958329"
"719550842475393000","doubled the number","$SBUX","0.2467057897"
"23547862","that is a positive as top notch Investor DD can be trusted","$KNDI","0.2049341728"
"6178538","The Best Stocks for 2012","$MSFT","0.2931333601"
"719508310207111200","added new subscribers","$SIRI","0.2634790821"
"719535831040401400","Market seems like it's about to roll over here Look out below!","$NFLX","0.1006098602"
"30856626","Apple's category to win","$AAPL","0.1302398157"
"31132360","bullish story intact,evenif the market rolls over","$IMRS","0.1930109293"
"37935490","Continues to base as debate linger Downside limited","$ONTY","0.1228980529"
"719532032305573900","Our updated #core4 portfolio","$NFLX","0.2810706353"
"37892470","after this news, it has nothing left. Don't keep it anymor","$VNDA","0.2261557033"
"719614954500857900","Highest call to put ratio","$DISCA","0.2458534384"
"708410688230842400","top-rated","$PDCO","0.3002672322"
"17785769","Current holdings via options Long:","$GS","0.266313319"
"719551394798268400","Watchlist Top Stocks","$WM","0.305345447"
"11875799","could be testing $425 in days","$AAPL","0.1824771409"
"5514207","$BHP +3.04%","$BHP","0.2125028119"
"37450150","Time to stomp on some dreams.","$DIA","0.0684328441"
"719915914120921100","Sold all:","$DUST","-0.1245911687"
"9738169","arrg no go I am out of round #2","$EDU","0.087742083"
"8213941","short term fund/redemption liquidations","$AAPL","0.0780983516"
"719861575759372300","$FB down 7.5% from this #bearish pattern impressive bearish move","$FB","0.1270740525"
"31143613","Largest Online Gaming Market","$SNE","0.1998366261"
"709176395461750800","Would like to see upside break in channel this week","$GOOG","0.1954493341"
"5835477","European Debt once again Keeps Stocks Down","$EUR","0.0264858866"
"6445155","lookin 4 short opt here","$MFLX","0.0552446213"
"719726286227132400","Long on $FB","$FB","0.2917326848"
"5784142","still no real movement i'm on the sidelines","$AIS","0.1006127596"
"31518357","Another great day with millions in gain shorts get caught in the tall grass","$VXX","0.1900954469"
"5398884","moves up to my TR1 long watchlist.","$KBE","0.2317977154"
"8351517","a laggard Nothing to get excited about IMO is underperforming the market","$AAPL","0.1928885497"
"719905344957222900","Google, IBM, ARM And AMD Begin The Assault On Intel's Server Franchise","$GOOG","0.2662300406"
"719644552047362000","weak outlook","$NFLX","0.022773193"
"33623906","Will join Dow Jones this month'Replacing","$AAPL","0.196837675"
"719909604654624800","Most bullish stocks on Twitter during this dip","$VZ","0.30185455"
"719582832541179900","red","$TSLA","0.0006198672"
"719546315332546600","being accumulated all day","$MAR","0.1944500294"
"711113383341199400","ses warrants to buy $1.17B & 14.97% of AmerisourceBergen(PBR16) shares","$ABC","0.2251634621"
"719493174167625700","Iraq Boosts Oil Production to Record","$AAPL","0.1602826553"
"709834259687710700","Biggest Market Losers","$MNK","-0.057716062"
"719528163596873700","Added more $BBBY Still a very profitable merchant with profitable stores","$BBBY","0.2250146447"
"29289791","Stochastic Sell Signal","$IFF","0.0097010921"
"37312789","huge buy in all these names","$STLD","0.3602261011"
"36297090","Max Pain = 101.00","$GILD","0.1127254391"
"5422915","$OIL +2.76%","$OIL","0.2303018947"
"32728385","Everyone is buying calls EOD Friday","$AAPL","0.2047985189"
"709723193125175300","consumers keep cautious stance","$WMT","0.1127886207"
"11204903","but decent supt here-expect some upside","$SLV","0.2126619044"
"19607999","swing short","$AMZN","0.0683268346"
"709779449663721500","Short Setups Looking Nice....Really Nice","$FLT","-0.071178964"
"19388705","new 'large player sells'","$UL","0.0162815038"
"12800394","must be very exciting to have it","$BBRY","0.2074631228"
"5526621","Down On The Day, The Week, The Month, And The Year","$UUP","0.243334424"
"11983857","$aapl interesting that all these positive stories are coming out the past few day","$AAPL","0.2082879887"
"719644552047362000","Plunged","$VG","0.1496573769"
"7399381","Equity indexes working on a positive engulfing for March","$IWC","0.2517324841"
"20469877","Hope your not short","$BEAT","-0.0110737254"
"709723193125175300","consumers keep cautious stance","$HD","0.1127886207"
"12196849","with upcoming first support in a few days or weeks!","$TNA","0.2150679136"
"9416020","Earnings growth looks dim  current multiple high","$SPY","0.1784217502"
"9742736","Multi-year stock breakouts","$WMT","0.3576051972"
"710525327072583700","Timing is everything and the time is now for Canna Security America","$FB","0.1666788823"
"719587542337720300","could see a nice pop if bids come in higher than expected","$YHOO","0.1747433779"
"18567587","pushing highs","$AMCN","0.203941423"
"719525586863988700","turns back down in early trading","$FB","0.1339495905"
"5582309","Resuming advance into new historical highs","$HITK","0.1899545294"
"9358281","I am liking it for an upside break","$PPG","0.2177885293"
"5419254","Not So Pretty Longer Look","$SPX","0.0330146951"
"29685449","Oil slid to a four-year low after #OPEC kept its oil production unchange","$OIL","0.0558107615"
"708375808793026600","Flat week","$SPY","0.2481796901"
"22100916","eod run :)","$FB","0.1973035652"
"17454753","Long","$TSLA","0.3652697802"
"719530996681568300","Another Sell Rating","$FXE","-0.05774493"
"719562665081737200","AAPL could jump 50% partnering with Tsla","$TSLA","0.1463583669"
"709776718026768400","China February Retail Sales: E-Commerce Remains Resilient","$NKE","0.2444470675"
"719732320404709400","TOP 5 STOCK PICKS","$ROST","0.3094965465"
"18183440","LONG!!","$SIRI","0.2671008352"
"21026010","today's momentum movers","$CDTI","0.2379615786"
"709731726726193200","the most trending","$VRX","0.2401246618"
"719891468173844500","Looking for a strong bounce Lunchtime rally coming","$FB","0.3388965723"
"719599977480253400","Stocks Higher In Afternoon Trade","$WFC","0.2570694053"
"709787137881858000","Time to go long $AMZN?","$AMZN","0.2295980482"
"719888646241955800","First quarter is amazing","$AIG","0.253461253"
"37048093","$FTNT new high..","$FTNT","0.2800337581"
"719576182941958100","technology help users","$FB","0.1491341078"
"13152807","next resistance should be around","$AAPL","0.0835143174"
"719520260181909500","bulls defend","$TSLA","0.1950842473"
"719753696339472400","Has broken its downtrend","$AAPL","0.0878919799"
"719872154641244200","Slips on Downgrade","$SBUX","0.1346932245"
"709389876295110700","long","$BITA","0.3652697802"
"719849703106551800","Pie In The Sky","$CRM","0.2469975206"
"9162226","hottest part of tech $SBUX deal","$SBUX","0.19173438"
"5386257","Its a great company Needs buyers","$RIMM","0.1867654899"
"719515579372077000","Added long at friday close","$SPY","0.3389073575"
"22780978","$IEF bullish. $TLT too.","$TLT","0.1294847446"
"11238707","Back in the saddle again","$UVXY","0.1669357546"
"710158462253142000","if one is to go long, money rotating into large cap tech","$QQQ","0.2677943434"
"719616495962067000","Seeing Competition","$GOOGL","0.1156455641"
"719533378698100700","We See More Reasons To Be Cautious","$C","0.1301785986"
"8499556","up another .03 in AH it has a long way to go to find resistence","$ACAD","0.1868398234"
"38895736","3 Top Japan ETFs To Surge Higher In 2H","$QJPN","0.2728377864"
"709777793798656000","Unusual Call Activity","$WSM","0.2848289656"
"13024560","Ron Johnson tried, and failed, to inject a bit of Apple culture into JC Penney","$AAPL","0.0485445266"
"719506353421709300","A Premier Retail Dividend Play","$COST","0.2018854236"
"35257107","BlackBerry Messenger is second only to Facebook in user loyalty","$BB.CA","0.2043943014"
"8260657","up for sale!","$ARNA","0.2402352029"
"710827150266355700","nice fade from the bell","$ADBE","0.2438945694"
"39047349","Stochastic Overbought","$ASMB","-0.1048844656"
"709765994416365600","$WFM may feel price competition","$WFM","0.1726195928"
"719534447771697200","users on Vetr are bearish indicating a SELL Rating","$TSLA","0.16816879"
"709743356428025900","up 1%","$AAPL","0.1953689657"
"10602596","breakouts","$CHMT","0.2920254203"
"719571428060766200","RECALL","$TSLA","0.099751761"
"39047349","Stochastic Overbought","$ALR","-0.1048844656"
"719796218071621600","Sell Rating In Need Of Innovation","$AAPL","0.0847806373"
"10920221","buying opportunity","$BAC","0.2589366813"
"710142505493405700","will like $TSLA to the end","$TSLA","0.2140448219"
"14140852","Google Will Soon Start Selling Chromebooks At Walmart And Staples","$SPLS","0.1960156811"
"6267912","analysts have the martian orders way too high theyll never hit it!","$AAPL","0.212932331"
"709973585226571800","massive new $JD headquarters Not much slowdown to be detected","$JD","0.1524518981"
"5721348","Nice little cup-and-handle shaping up favours a good day for the index","$SPY","0.2501586074"
"719849703106551800","Pie In The Sky","$CHKP","0.2469975206"
"25571322","Inside week buy triggers","$DNKN","0.2998584216"
"5441240","stocks insiders are bullish on","$FAST","0.2810734774"
"9982140","moving up again","$VVUS","0.2658467903"
"708406053973659600","recessions declines","$TWTR","-0.0223081561"
"719693593066258400","Google dividend - 0%","$GOOG","0.2229754444"
"5614354","gets NASDAQ Delisting Notice board will quit diluting the shares","$MVIS","0.1271144713"
"32427089","Quality Stocks With High Cash Returns","$STX","0.2652758181"
"15946770","Is It Finally the Right Time to Invest in National Bank of Greece? $IRE","$IRE","0.1838249211"
"709431643363213300","Loves What It Sees","$TSLA","0.1643438069"
"719535209423593500","bounce & retreats Not short by any means","$YHOO","0.1416212682"
"14655289","still wants higher I think.","$SPY","0.1407668364"
"28061995","Crazy market up down up down up down","$PCLN","0.079508905"
"25571322","Inside week buy triggers","$LOCO","0.2998584216"
"7040295","insiders got this one wrong Looking for bottom Rsi under 30","$NIHD","0.1071200541"
"24815315","good comeback","$IBB","0.2286938679"
"709411365299982300","$SH has got potential","$SH","0.1459353081"
"719891971360165900","eading for the 200DMA and certain doom","$SBUX","0.2246896783"
"710211237058093000","Oil To Break Out Adding Chevron","$AXP","0.3649028253"
"21024991","stopped out","$TSLA","0.1081476284"
"32349177","Potential continuation Uptrend","$HAL","0.1902510679"
"39048817","spikes its lows lower it will go","$NBG","0.1216402418"
"34122674","$amba down","$AMBA","-0.0806522579"
"719615643918577700","its a must buy","$AAPL","0.2266648232"
"21174505","$ADBE shorted, there was only 1% short float","$ADBE","0.1860206946"
"25032300","me gusta","$AAPL","0.1373396552"
"708399906990329900","Rally Friday! #new52weekhighs p over 31%","$ISRG","0.3958718552"
"719572285170933800","$TSLA in the news - not good","$TSLA","0.1823683759"
"32753195","delivering the goods again let's see if that can spill over in other chinese internet names","$BITA","0.2652410267"
"5806487","companies shld be worried about iCloud","$NFLX","-0.0168872131"
"13088382","","$GOOG","0.1619504364"
"719864087132442600","GevoÃ¢â‚¬â„¢s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight","$DAL","0.1676861485"
"709758795648409600","$FB gone green on day","$FB","0.2021757954"
"7737263","$INCY +100","$INCY","0.1707419018"
"719493174167625700","Iraq Boosts Oil Production to Record","$UWTI","0.1552846574"
"19500150","expects earnings to maintain healthy growth in the year ahead The companyÃ¢â‚¬â„¢s share price gained","$F","0.1967378156"
"10413981","Sees Downside to $425","$AAPL","0.1191938621"
"719467784007192600","Citrix Systems Inc $CTXS Position Increased by Mizuho","$CTXS","0.2330207491"
"9999828","Nice buyable intraday dip right here","$FB","0.1596106142"
"719864087132442600","GevoÃ¢â‚¬â„¢s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight","$SPY","0.1676861485"
"17610673","will lose at least $1B may not be profitable for another year or so after that","$MSFT","0.0678754864"
"5554666","waterfall ahead?","$GMCR","0.1028617489"
"710863854381563900","Unusual Call Activity","$VXX","0.2848289656"
"719535506980266000","Nice day rally!","$DIS","0.329514593"
"38563467","$BBRY smack down looks legitimate $GS $MS are playing ignorant","$BBRY","0.0656118512"
"5795737","13F Shows New Stakes in","$GD","0.3287054068"
"14756968","$AAPL had a big GROWING success for years","$AAPL","0.0596711213"
"708416296665399300","still have positive market bias Sharp Rally In Low-Quality Stocks Points To Ongoing Market Gains","$CSCO","0.2603014059"
"15928669","$FRS #Restaurants 24.75+9%","$FRS","0.1531437321"
"719661137411747800","cuts outlook down","$CSCO","-0.003857118"
"719519136318169100","cracking lower early $short #correction","$FB","0.038425486"
"17785769","Current holdings via options Long:","$V","0.265414848"
"719720776027353100","Biggest gainers today large caps","$STX","0.2952463063"
"710532117164232700","New MACD signal created on","$CTXS","0.2073782959"
"12799689","$AAPL cleary surpassed their BB","$AAPL","0.0857041662"
"8123917","broke descending channel","$AAPL","0.2083460507"
"709362616578154500","more complex challenges","$GOOG","0.1349547605"
"710822084579086300","Markets Back in Black for 2016","$SPY","0.2124503725"
"709834259687710700","Biggest Market Losers","$SID","-0.0632577642"
"12790708","Nice pop today Told ya we would be green","$NOK","0.1493253429"
"719873426136150000","Deutsche Bank Downgraded Starbucks Co","$SBUX","0.0960890177"
"719609967565803500","$AMS (Ahold) has 5%","$AMS","0.1770934956"
"8308437","Should rise again 2morrow","$KORS","0.1352715339"
"24504842","looking to add a gold miner and possibly lower pe tech name into close","$KGC","0.2713990222"
"37340646","sucker rallies down trend","$ZIOP","0.0859451563"
"719620962094870500","shares climb","$YHOO","0.3036486744"
"7177668","looks good for a few","$EZPW","0.2716563519"
"12732850","at pivot area on intraday chart","$AAPL","0.177229841"
"719811329922625500","diversifies risk best place in the world","$AMZN","0.2195311683"
"711712771675652100","I think this $TSLA bubble might go on for some time","$TSLA","0.1437205213"
"719634617465081900","private equity for Yahoo bid","$YHOO","0.2361691302"
"710211237058093000","Oil To Break Out Adding Chevron","$WMT","0.369662409"
"719937548668256300","s Anglo American jumps 9%","$AAL","0.1975350243"
"18038613","raises revenue forecast","$BRCM","0.1964712137"
"9393661","market has a lot of faith in the ECB","$SPY","0.1400535649"
"31143613","Largest Online Gaming Market","$MSFT","0.1996180113"
"719661137411747800","cuts outlook down","$JNPR","-0.003857118"
"8746240","a little pullback","$QCOR","0.1924361985"
"5512185","Possible target","$SSO","0.2258873756"
"30741682","short sighted sellers will be sorry soon","$HPJ","0.0683354815"
"38028268","$LPTH hot","$LPTH","0.1592406774"
"709483088603119600","likely to strongly benefit from #genetherapy","$BMRN","0.1968337291"
